user_type,season,month_name,month_num,week_day,day_of_week,hour_block,blocked_hours,ride_count,avg_ride_length,max_ride_length
casual,Winter,January,1,Tuesday,3,7pm,6pm–8pm,90,63.01,1500
casual,Winter,January,1,Tuesday,3,2am,2am–4am,3,9.67,12
casual,Winter,January,1,Tuesday,3,8am,8am–10am,91,20.66,532
casual,Winter,January,1,Tuesday,3,2pm,2pm–4pm,106,29.8,1248
casual,Winter,January,1,Tuesday,3,8pm,8pm–10pm,70,33.13,867
casual,Winter,January,1,Tuesday,3,3am,2am–4am,3,21.33,35
casual,Winter,January,1,Tuesday,3,3am,2am–4am,6,8.67,22
casual,Winter,January,1,Tuesday,3,3pm,2pm–4pm,146,8.85,48
casual,Winter,January,1,Tuesday,3,9pm,8pm–10pm,67,8.69,41
casual,Winter,January,1,Tuesday,3,4pm,4pm–6pm,168,9.71,83
casual,Winter,January,1,Tuesday,3,5am,4am–6am,9,4.89,9
casual,Winter,January,1,Tuesday,3,5pm,4pm–6pm,193,8.99,45
casual,Winter,January,1,Tuesday,3,6am,6am–8am,49,6.76,33
casual,Winter,January,1,Tuesday,3,6pm,6pm–8pm,151,9.52,48
casual,Winter,January,1,Tuesday,3,7am,6am–8am,79,8.03,31
casual,Winter,January,1,Tuesday,3,7pm,6pm–8pm,101,8.73,39
casual,Winter,January,1,Tuesday,3,8am,8am–10am,123,8.12,29
casual,Winter,January,1,Tuesday,3,8pm,8pm–10pm,85,8.31,45
casual,Winter,January,1,Tuesday,3,11am,10am–12pm,73,9.3,56
casual,Winter,January,1,Tuesday,3,1pm,12pm–2pm,88,8.16,28
casual,Winter,January,1,Tuesday,3,11pm,10pm–12am,30,8.9,23
casual,Winter,January,1,Tuesday,3,9am,8am–10am,78,7.49,32
casual,Winter,January,1,Tuesday,3,12am,12am–2am,18,6.78,14
casual,Winter,January,1,Tuesday,3,10am,10am–12pm,59,8.68,31
casual,Winter,January,1,Tuesday,3,12pm,12pm–2pm,85,9.76,55
casual,Winter,January,1,Tuesday,3,1am,12am–2am,6,9.33,22
casual,Winter,January,1,Tuesday,3,2am,2am–4am,6,6.67,12
